First Name,Middle Name,Last Name,Maiden Name,Full Name at Birth,Alternative Name,Birthday,Birthplace,Height,Weight,Zodiac Sign,Sexuality,Religion,Ethnicity,Nationality,Occupation
Harmoni,,Baylis,,Kate LaPriel Harrison,Miguel Alonso Reyes,"6th September, 1978","Elmhurst, Illinois, U.S.",,,,,,,,
Dalvin,,Greenough,,Yvonne Jaqueline Strzechowski,"Pinar Altug, Pinar Altug Atacan","15th January, 1979","Rosario, SF, Argentina",,,,,,,,
Navi,,Bianchi,,James King Kern Kyser,Raggi,"24th February, 1958","Cebu, Philippines",,,,,,,,
Birgit,,Claytor,,Eddie Lee Floyd,"Laurita Fernadez, Laurita Fernández","4th October, 1932","Naponee, Nebraska, USA",,,,,,,,
Charlese,,Runyeon,,Misty Danielle Copeland,Heinz Berggruen,"11th January, 1934","Foster City, California, USA",,,,,,,,
Carmela,,McFadden,,Siddhant Karnick,Charles W. Black,"24th June, 2001","Offenbach am Main City, Hesse, Germany",,,,,,,,
Kata,,Seyfried,,Susannah Kay Melvoin,"Alexis Kartheiser, Kimberly Alexis Bledel, Alexis Bledel, Rory","27th January, 1994","Mansfield, Massachusetts, USA",,,,,,,,
Angeline,,Luke,,Tina Kunakey Di Vita,Aleksandra Rastovic,"19th October, 1977","Fort Saskatchewan, Alberta",,,,,,,,
Kristine,,Goodell,,Paul Anthony Pierce,"Ronado Fenômeno, Fenômeno, Ronaldinho, Ronaldo Luís Nazário de Lima, Ronaldo","22nd January, 1906","Florence County, South Carol",,,,,,,,
Panagiotis,,Statham,,Alfonso Antonio Vicente Eduardo Angel Blas Francisco de Borja Cabeza de Vaca y Leighton,"Ian Raymond Ogilvy, Ian Ogilvy","28th January, 1940","Paragould, Arkansas USA",,,,,,,,
Dailyn,,Kodar,,Rosanna Wang,"Grace Van Patten, GVP","6th January, 1983","Topeka, Kansas USA",,,,,,,,
Odell,,Kudla,,Zinaida Mikhailovna Kiriyenko,"Helen McCrory, Helen Elizabeth McCrory, Helen Elizabeth McCrory OBE","16th November, 1983","Vero Beach, Indian River County, Florida, USA",,,,,,,,
Donya,,Dass,,Maxton Gig Beesley Jr.,Stef,"1st July, 1964",Virginia,,,,,,,,
Bixente,,Spencer,,Marie Antoinette Wright,"Brandi Wine, Brandy Wine","21st February, 1985","Camarillo, CA",,,,,,,,
Salome,,Darvi,,Romina Richi,"Yamapi, Pi, Tomohisa Aoki, Yamapi or YamaP","9th June, 1971","Cologne, North Rhine-Westphalia, Germany",,,,,,,,
Oriana,,Poitras,,Kathleen Joy Paton,"George Bell, John Lance, George Payne, George Anderson, George Paine, Mike Payne","11th January, 1859","Bensonhurst, Brooklyn, New York, USA",,,,,,,,
Elli,,Musikantow,,David Lamar Sharpe,Lynn Theel,"1st July, 1986","American Fork, Utah, USA",,,,,,,,
Vishal,,Litique,,Daniel Nicoletta,"Teanna West, Teanna Trump, Teanna Sweet, Maya Johnson, Teanna Smiles, Keanna Jones, Keanna Nichele Jones, Teanna West (fuckedhard18.com), Teanna Smile","13th November, 1941","Nichols, New York, USA",,,,,,,,
Vesela,,Astin,,Imogen Morris Clarke,Vanessa Incontrada,"5th November, 1947","Mays Landing, New Jersey",,,,,,,,
Nikolai,,Beltrao,,Bonnie Lynn Hunt,"Elizabeth II, Her Majesty Queen Elizabeth II, Queen of the United Kingdom of Great Britain and Northern Ireland, Queen Elizabeth II, Her-Royal-Highness-Princess-Elizabeth-Alexandra-Mary-of-York, Her-Royal-Highness-Queen-Elizabeth-II, Gary, Ma'am, Her Gracious Majesty, Defender of the Faith, Queen-of-the-United-Kingdom-of-Great-Britain-and-Northern-Ireland, Queen-of-the-United-Kingdom-and-the-other-Commonwealth-realms, Her Majesty, Lillibet, Betty, Her Gracious Majesty and Defender of the Faith, Queen Elizabeth","4th April, 2000","Kingslynn, Norfolk, England, UK",,,,,,,,
Ailín,,Fujii,,Alexander Richard Corbisiero,Eric Peterson,"12th December, 1964","North Caldwell, NJ",,,,,,,,
Caique,,Morando,,Nikki Goldstein,"Garcelle Beauvais, Garcelle Beauvais-Nilon","26th April, 1992","Tanauan, Batangas",,,,,,,,
Shona,,Cort,,Julie Anne Friedman,(Arabic: شيرين دعيبس‎),"23rd March, 1983","Elk Point, Alberta",,,,,,,,
Begum,,Kapila,,Gonzalo Gerardo Higuaín,"Leisha Hailey, Abs","23rd July, 1946","Greenville, Mississippi, USA",,,,,,,,
Erskine,,Knie,,Ashley Fuller Olsen,"Wang Yi-chung, (王以瞻)","31st July, 1997","Chicago, Illinois USA",,,,,,,,
Zorana,,Shenberg,,Fanny Cottençon,Juelz Santana,"13th June, 1992","Schenectady, New York",,,,,,,,
Kristeen,,Greco,,Nicolas Jack Roeg,"Kira Nicole Kosarin, Kira Kosarin, Kko","3rd September, 1996","Paris , France",,,,,,,,
Kimberlee,,Jowsey,,Gedeon Burkhard,"Indi, Indiana Evans, Indiana Rose Evans","11th March, 1921","London, England United Kingdom",,,,,,,,
Phyllis,,Ahuja,,Brianna Maphis,"Kat, Kathryn Love Newton, Kathryn Newton","1st March, 1964","Munich, Germany",,,,,,,,
Danielly,,Gullo,,Jack Schwartzman,"Sky, Sky Bri, Realskybri, Sky-Bri","9th November, 1907","Maracay, Venezuela",,,,,,,,
Rilind,,Svoboda,,Beatriz Francisca Monroy Alarcón,"Tessa Ia, Tessa Ia González Norvind","31st August, 1974","Blythewood, South Carolina",,,,,,,,
Jarvis,,Harrier,,Kübra Kücük,"Al Bano, Al bano Carrisi, Albano Carrisi","31st December, 1985","Frogmore, Windsor, Berkshire England",,,,,,,,
Megan,,Marcuzzi,,Marion Elizabeth Benda,Tanya Boniface,"16th February, 1970","Great Harwood, Lancashire, England, UK",,,,,,,,
Brock,,Hodges,,Eva Maria Olivia Amurri,"Sharmiela Mandre, Sharmiela, Sharmila Mandre","27th June, 1958","Fontana, California, USA",,,,,,,,
Kelly,,Doucett,,Sahar Luna,Alia Al-Hussein,"20th December, 1975","Simi Valley, California USA",,,,,,,,
Shaheen,,Perelmuter,,John Christopher Strong,"Siddharth Mehra, Sid","22nd March, 1987","Maryborough, Australia",,,,,,,,
István,,Calandriello,,Coral Jeanne Smith,"Tanya Lopez, Thanya López","6th September, 1909",British Mandate of Palestine (now Israel),,,,,,,,
Zandy,,Mowatt,,Heidi Elena Balvanera de Uriarte,"Jamie, J, Baby James","7th April, 1914","Ahaus, Germany",,,,,,,,
Roseanne,,Alvim,,Ariana Barbara Cooper,Mrs. Idle,"30th November, 1868","Beverly Hills, California, U.S.",,,,,,,,
Dak,,Çevik,,Fershgenet Melaku,"Song Joong-ki, 송중기, Song Jung-gi, Song Chung-gi, Joong-ki Song, Active Young Man, Brain Joong-ki, Flower Joong-ki","11th March, 1964","Enfield, London, England, United Kingdom",,,,,,,,
Hans,,Kirk,,Eyal Booker,"Johanna Jussinniemi, Ms Swede, Johanna Plaidski, Puma Swede, Puma Sweede","19th November, 1952","Angers, Maine-et-Loire, Pays-de-la-Loire, France",,,,,,,,
Rena,,Ries,,Sylver Karatz,"Jaclyn Tohn, Jackie Tohn","28th June, 1920","North End, Boston, Massachusetts",,,,,,,,
Diva,,Paulista,,Rachel Fenton,"Rosanna Wang, Rosanna Wong","23rd May, 1975","Tarlac, Philippines",,,,,,,,
Donatella,,Divoff,,Kevin Carson McAllister,Amber Campbell,"5th June, 1958","Sfantu Gheorghe, Romania",,,,,,,,
Christabel,,Zidian,,Vera Lúcia Fischer,"Thati Lira, Tathi Lira, Tatiana Lira","27th July, 1969","Cascais, Portugal",,,,,,,,
Beste,,Bauer,,Brytni Melicia Sarpy,"Jimmy, James Jagger, Jimmy Jagger","11th May, 1960","Chiva, Valencia, Spain",,,,,,,,
Marica,,Rackmil,,Bojana Jankovic,June Horne,"29th June, 1992","Bellevue, Washington, USA",,,,,,,,
Ingrid,,Burge,,Douglas Lawrence Osowski,"Rob Pilatus, Robert Pilatus","22nd March, 1950","Lucknow, Uttar Pradesh, India",,,,,,,,
Viviana,,Amozurrutia,,Richard Dutoit Carlson,León Larregui,"25th February, 1982","Gainesville, Georgia",,,,,,,,
Olcay,,Reshetova,,Daniele Toshiko Suzuki,"Berki Krisztián, Krisztian Berki","26th February, 1983","Salley, South Carolina, USA",,,,,,,,
Arianna,,Albani,,Joan Henrietta Collins,Freddy,"17th December, 1968","San Sebastian, Basque Country, Spain",,,,,,,,
Rain,,Lundgren,,Giuseppe Segato,"Magus of Surrealism, Arbiter of Surrealism","6th December, 1948","El Dorado, Kansas, U.S.",,,,,,,,
Donita,,Webster II,,Paulina Paulin Cadavid,"Daisy Graves, Vanessa Mossman, Daisy of Love","17th June, 1954","Montauban, France",,,,,,,,
Alison,,Passley,,Dana Marie Carlsen,"Fro, Pagey, Renfreak","4th July, 1984","Withernsea, East Riding of Yorkshire, England, UK",,,,,,,,
Jayceon,,Crowther,,Joseph Wayne McVey IV,Angela Ermakova,"3rd May, 1975",Portuguese Macau,,,,,,,,
Pati,,Mfume,,Jason D. Hall,Mereki,"25th August, 1972","Oak Glen, California",,,,,,,,
Junko,,Holbrooke,,Fiona Frances Elaine Campbell-Walter,"Vivianne, Vivi Anne, Vivianna, Chrissy, Vivian","28th May, 1962","Augusta, Georgia, USA",,,,,,,,
Marsha,,Bernstein,,Nicholai Harry Weiss,Melly Starr,"10th August, 1959","Trenchtown, Jamaica",,,,,,,,
Jasmine,,Knudsen,,María José de Pablo Fernández,Maniesh Paul,"23rd November, 1986","Douglas Park, Del Norte County, California, USA",,,,,,,,
Claude,,Granger II,,Cecilia Ludmila Ponce,"Jill Dorothy Ireland, Jill Ireland","28th September, 1980","Bootle, Liverpool, England",,,,,,,,
Dedrick,,Shalom-Biatch,,Juan Pablo Raba,"Deborah Presley, Deborah Givone Presley, Deborah Givone Yandel, Debi Presley","19th April, 1934","Spartanburg, South Carolina, USA",,,,,,,,
Geoff,,Sando,,Marcella Zabala Howard,"Sergio Catalán Rochín, Sergio Catalán","14th November, 1959","Harrisburg, Pennsylvania USA",,,,,,,,
Krissa Mae,,Dzsudzsák,,"William Patrick Corgan, Jr.",Gabi,"29th April, 1985","Peekskill, New York, USA",,,,,,,,
Clifton,,Mooney,,Albrecht Johannes Géza Augustinus Wilhelm Maria Prinz von und zu Liechtenstein,"La Toti, Sofía Margarita Vergara, Sofía Vergara, Sofía Margarita Vergara Vergara","17th November, 1966","Upstate New York, New York, USA",,,,,,,,
Georgie,,Padukone,,Vincent Paul Young Jr.,Kevin James,"1st March, 1916","Cherry Point, North Carolina, USA",,,,,,,,
Tziporah,,Grant,,Marie Drucker,"Christoph, Christophe, Silvio Bello, Christof Clarc, Christopher Clarck, Cristof Clarck, Cristopher Clarck, Chrisophe Clark, Christof Clark, Christohe Clark, Christope Clark, Christopher Clark, Christophe Clark, Cristofer Clark, Cristopher Clark, Cristophe Clark, Cristoph Clark, Christopher Clarke, Christophe Clarke, Cristoff, Christoph Grossal, Christopher Grosso, Christophe Grosso, Christoph Grosso, Chris Grosso, Cristophe Grosso, Gilbert Grosso, Chris Klark, Kriss Klark, Kris Klark, Chris Clark, Cristoph Clarck, Christoff Clark, C. Clark, Cristopher Clack, Cristof Clark, C. Clarck, Christoph Clarck, Christophe Clarck, Christoph Clarc, Christoff Grosso, Cristophe Clarck","21st September, 1995","Croix-des-Bouquets, Haiti",,,,,,,,
Nely,,Sawchuck,,Alberto Óscar Guerra Ramos,"Silvia Marlene Favela Meraz, Marlene Favela, La Loba","9th September, 1988","Srinagar, Kashmir, India",,,,,,,,
Webb,,Troutt,,Diana Jean Krall,"Hard n Phirm, Big C, C-3","24th September, 1923","Washington, District of Columbia",,,,,,,,
Stelvio,,Bürger,,Vanessa Bell,Harvey,"2nd November, 1988","Pittsburgh, Pa.",,,,,,,,
Evgenia,,Travis,,Vera Lee Shelton,"Ari, Aristo, Aristoteles Onassis, Aristotle Sokratis Onassis","25th December, 1977","Garden City, Long Island, New York, USA",,,,,,,,
Fisher,,Vilhena,,Olivia Jordan Thomas,"Thomas Stephen Gries, Thomas Gries, Tom Gries","28th March, 1941","Colonia Santa María la Ribera, Mexico City, Distrito Federal, Mexico",,,,,,,,
Vaitiare,,Squires,,Tanner Novlan,"Guin Turner, Ginnie","9th December, 1995","Alnö, Västernorrlands län, Sweden",,,,,,,,
Raphaela,,Autieri,,Jack Andrew Tweed,Redfoo,"8th March, 1945","Newport, Wales, UK",,,,,,,,
Aisha,,Strathairn,,Ji-hoon Lee,Pieter van Schaik,"27th December, 1948",Missouri,,,,,,,,
Cayetana,,Alessandrini,,Daniel Hooper,"Jens, Jenson Button, Jenson Alexander Lyons Button","9th January, 1975","Wichita, Kansas, USA",,,,,,,,
Anne-Renée,,Skow,,Ellen Alice Terry,Priscilla Natalie Hartranft,"7th May, 1921","Penafiel, Portugal",,,,,,,,
Shray,,Streekstra,,Ismail Demirci,Nathan Westling,"7th April, 1964","Jamshedpur, Jharkhand, India",,,,,,,,
Belisa,,Goodrich,,Barbara Woolworth Hutton,"Pac-Man, The Mexi-cutioner, Pambansang Kamao (""National Fist""), Pacman, Emmanuel Dapidran Pacquiao, Manny Pacquiao, National Godfather, Fighting Pride of the Philippines, The Filipino Slugger, The Fighting Congressman, Pac Man, The Destroyer, The Mexicutioner, The Nation's Fist","9th June, 1980","Beachwood, New Jersey",,,,,,,,
Kusha,,Dudley-Ward,,Stanislas Wawrinka,Boinie,"20th September, 1995","Richmond, British Columbia, Canada",,,,,,,,
Pansy,,Morrissey,,Zachary James Baker,Chace Crawford,"9th February, 1901","Corozal, Puerto Rico",,,,,,,,
Tana,,Pitcher,,Frances Catherine Marshall,"Genevieve Cortese, Genevive Padalecki, Genevive Cortese, Genny, Genevieve Nicole Cortese","4th May, 1957","Ranchi, India",,,,,,,,
Kamelia,,Candido,,Dorothy Rothschild,"Silver Gems, Ass, Asiaargento23, Aria Asia Anna Maria Vittoria Rossa Argento, Asia Aria Anna Maria Vittoria Rossa Argento, Aria Maria Vittoria Rossa Argento, Asia Argento, Az, Asia","21st November, 1990","Loveland, Colorado",,,,,,,,
Aleksander,,Hefner,,Connie Inge-Lise Nielsen,"Mrs R. Tyson, Stella Marie Capes, Mariella Novotny, Stella Capes, Mariella Capes, Stella Dibben","29th November, 1950","Hertfordshire, England",,,,,,,,
Kaitlynn,,Bangia,,Raylin Joy Christensen,"Arti Singh, Aarti Singh, Aarti, Arti, Arti Sharma, Aarti Sharma","18th April, 1934","Shreveport, Louisiana, USA",,,,,,,,
Van,,Stankovic,,Charles Warren Stoddard,Victoria Gotti,"3rd October, 1973","Reigate, Surrey, England, UK",,,,,,,,
Patt,,Kerényi,,Oliver Stanley Murs,"Sophie Belinda Jonas, Sophie Belinda Turner, Sophie Turner, Sophie, Sophie Jonas","17th June, 1957","Göttingen, Germany",,,,,,,,
Virna,,Hendericks,,Samuel Robert Torrance OBE,Kev,"25th June, 1977","Coronado, California, USA",,,,,,,,
Oswald,,Åkerman,,Antón﻿ Álvarez Alfaro,Bonnie Graves,"7th June, 1994","Santa Barbara d'Oeste, Brazil",,,,,,,,
Berkin,,Villalpando,,Martín Gastón Demichelis,"Laura Bernabei, Laura Ungaro","23rd May, 1918","Des Moines, Iowa, USA",,,,,,,,
Jayde,,Płoszajski,,Frederick Martin MacMurray,"Amanza Smith-Brown, Amanza Smith, Amanza Brown","7th July, 1964","Grand Prairie, Texas, USA",,,,,,,,
Jules,,Kearney,,Duncan James,Margaret Leighton CBE,"20th February, 1895",Izegem,,,,,,,,
Laila,,Bignell,,Ryan Bruce Adams,Julie Gayet,"23rd May, 1996","Buenos Aires,",,,,,,,,
NA,,Horten,,Kahla Walkowski,"Georgia Tennant, Georgia Elizabeth Tennant, Georgia Elizabeth Moffett, Georgia Moffett","20th February, 1981",Corsica,,,,,,,,
Bonner,,Filomeno,,Larry Martin Hageman,Gail Jones,"8th February, 1975","The Bronx, New York City, New York, USA",,,,,,,,
Dominik,,Blackman,,"John Fitzgerald Kennedy, Jr.",Mayte Garcia-Nelson,"31st May, 1916","Dubuque, Iowa USA",,,,,,,,
Wyatt,,Schönburg-Glauchau,,Brian Joseph White,"Gardenia, Virginia Robyn Hey, Virginia Hey","3rd September, 1892","Garland, Texas, USA",,,,,,,,
Cailin,,Heart,,Sarah Miles,"Natty Baby, Natty","18th June, 1911","Hammersmith, London, UK",,,,,,,,
Lita,,Klee,,Madeleine Farley,"Riccardo Scamarcio, Riccardo Dario Scamarcio, Ricky","6th May, 1995","Godoy Cruz, MDZ",,,,,,,,
Shahid,,Santoni,,Javiera Soledad Acevedo Ludwig,"Pauley P., P","11th April, 1939","Fontana, California, United States",,,,,,,,
Karan,,Almsick,,Jordan Paul Rosenbaum,"Jeremy Ray Meeks, The Blue Eyed Bandit, Hot Felon","14th April, 1970","San Luis, Concarán, Argentina",,,,,,,,
Prince Mahmoud,,Hannelius,,Sidney L. Poitier,"Leonardo de Lozanne, Leonardo de Lozzane","9th September, 1941","Logan, Utah",,,,,,,,
Nickayla,,Bouteille,,Chloe Michelle Wang,"Esther Guilmáin, María Esther Gutiérrez Puerta, María Esther Gutiérrez, Esther Gutiérrez Puerta","23rd June, 1950","Milas, Mugla, Turkey",,,,,,,,
Tyler,,Vargas,,Martha Ellis Gellhorn,"Kardos Csilla, Csilla Kardos","7th July, 2000","San Miguel de Tucuman, Argentina",,,,,,,,
Kriszta,,Scobille,,Giovanni Moretti,Amanda Bernsen,"13th January, 1906","Jefferson, GA, USA",,,,,,,,
Talisa,,Hamú,,Oren William Haglund,"Michael Igor Peschkowsky, Mike Nichols, Mikhail Igor Peschkowsky","5th January, 1978","Strathaven, Scotland",,,,,,,,
Ruud,,Whitcomb,,Juan Román Riquelme,"Lolly, Valeria, Valeria Marini, Valeria Virginia Laura Marini","24th July, 1979","Reykjavik, Iceland",,,,,,,,
Ejay,,Pausini,,Perry Frances Garcia Mattfeld,"Entela Fureraj, Eleni Foureira, Pop Queen of Greek Music","12th January, 1959","Independence, Missouri USA",,,,,,,,
Sharifa,,Cappelli Goetz,,Venita Vardon Oakie,"Marouane Fellaini-Bakkioui, Marouane Fellaini","6th November, 1986","St. John's, Newfoundland and Labrador, Canada",,,,,,,,
Salomón,,Moradfar,,Leif Per Nervik,"Edward E. Paramore III, Edward E. Paramore, Ted Paramore, Harold Lime","23rd December, 1983","Philadelphia, Pennslyvania USA",,,,,,,,
Chili,,Steel,,Scott Michael Bailey,"Ernst Ingmar Bergman, Ingmar Bergman","29th September, 1962","New York City, U.S.",,,,,,,,
W.C.,,Metcher,,Daniel Andrew Sharman,"Jodi Albert, Jodi Mary Albert","22nd May, 2000","Metairie, Louisiana",,,,,,,,
Rener,,Siem,,Fantasia Monique Barrino,"Karina, La Princesita, Karina Tejeda, Karina La Princesita, Karina Jésica Tejeda","24th October, 1992","Rafard, Sao Paulo, Brazil",,,,,,,,
Jatavia,,Veselinova,,Thomas Elliott III,"Dennis Benatar, Dennis T. Benatar, Dennis Thomas Benatar","19th August, 1963","Bolton, England, UK",,,,,,,,
Joss,,Hulse,,"August Anthony Alsina, Jr.","Ashley Cheadle, Ashley Cheadle Quinn","30th January, 1976","Athens, Georgia",,,,,,,,
Bartolome,,Bastos,,Maj Irene Axelsson,"Anouk Aimée, Françoise Sorya Dreyfus, Nicole Françoise Florence Dreyfus","25th October, 1990","Paducah, Kentucky, USA",,,,,,,,
Lyle,,Luxx,,Roxanne Renckens,Elizabeth Treadwell,"31st January, 1996","Reynoldsburg, Ohio, USA",,,,,,,,
Raychel,,Biolay,,Jeremy Emson Hutchins,Emily Goodhand,"17th July, 1982","Rio de Janeiro,Brazil",,,,,,,,
Susannah,,D'orazio,,Tracy Lynn Curry,"Mokong, The (Philippine) King of Soul","4th August, 2000","Newport, Kentucky, USA",,,,,,,,
Eliana,,Capetillo,,Pia Ann Rose Toscano,"Chloe Flower, Chloe Won","25th June, 1956","Clearwater, Florida, USA",,,,,,,,
Jamie Smith,,Shareaux,,Cherie Leah Kunker,"Josh Groban, Golden Grobes","21st March, 1995","Warsaw, Indiana",,,,,,,,
Ilham,,Shimbo,,Isabel García de Herreros.,"Nargis Fakhri, Nargis Mohammed Fakhri","13th February, 1956","Morganton, North Carolina, USA",,,,,,,,
Funda,,Stan,,Michael Shawn Hickenbottom,"Bernice Jan, Bik-Yi Liu, Bik-yee Liu, Liu Bik-yee, 廖碧兒, 廖碧儿","10th January, 1961","Jaszbereny, Hungary",,,,,,,,
Ufuk,,Lemarchal,,Jamie Noelle Hill,Andrew Tomlinson,"5th May, 1984","Boca Raton, Florida",,,,,,,,
Amare,,Warren,,John Martin Feeney,Debby,"13th September, 2005","Seattle, Washington, U.S.A.",,,,,,,,
Ruslana,,Solá,,Ojan Noa,Georgie Hyde-Lees,"31st May, 1928","Beaconsfield, Quebec, Canada",,,,,,,,
Krayg,,Kutluay,,Tyrese Darnell Gibson,Denise Driscoll,"26th December, 1966","Belfast, Northern Ireland, UK",,,,,,,,
Veronique,,Antonucci,,Ellen Miriam Hopkins,Юлия Светлакова,"22nd June, 1999","Mainneville, Eure, Upper Normandy, France",,,,,,,,
Charli,,Fleetwood,,Iván Luis Zamorano Zamora,"Don Don, Linds, Kildon, Lindsey Kildow, Lindsey Vonn","16th June, 1981","Menlo Park, California USA",,,,,,,,
Karla,,Pelphrey,,William Ingraham Koch,Jamie Bochert,"29th May, 1973","Moscow, RSFSR, USSR [now Moscow, Russia]",,,,,,,,
Friedrich,,Lubin,,Brooke Schofield,Kjell Rasten,"18th January, 1958","Queensland, australia",,,,,,,,
Rhea,,Rassam,,Wihelmina von Osterman,"Chris Moore, Chris Masters, Christopher Robillard Mordetzky, American Adonis, Chris Adonis, Chris Mordetzky, Concrete, Christopher Todd Mordetzky, Masterpiece, The Masterpiece","29th April, 1981","Wayne, Nebraska, USA",,,,,,,,
Trieste,,Pendergrass,,Natalie Franz,"Daya, Senior Inspector Daya","19th October, 1976","New York, NY, USA.",,,,,,,,
Qyntel,,5,,Floyd Joy Sinclair,Dey Young,"3rd May, 1947","Wuppertal, Germany",,,,,,,,
Alla,,Campo,,Len Ryan Wiseman,"Lauren Wood, Lolo Wood, Lauren R. Wood","5th December, 1982","Mexico City, Distrito Federal, Coyoacan (The Blue House)",,,,,,,,
Terrance,,Bricklin,,Michael James Way,"# 12, Tom Terrific","5th June, 1982","Ledesma, Jujuy, Argentina",,,,,,,,
Corbin,,Elei,,Andrew Clay Silverstein,"Arinzé Mokwe Kene, Arinze Kene, Arinze Kenechukwu Mokwe, Arinze Kenechukwu Mokwe Kene, Arinze, Riz","19th September, 1955","Antigonish, Nova Scotia, Canada",,,,,,,,
Mrs.,,Kaymer,,Joseph Quinn,"Nicole Polizzi, Snooki, Snooks, Snickers, Nicole Polizzi-LaValle, Nicole ""Snooki"" Polizzi, Nicole ""Snooki"" Polizzi-LaValle, Nicole Elizabeth Polizzi, Nicole Elizabeth LaValle, Nicole, Polizzi","30th March, 1922","Silver Spring, Maryland",,,,,,,,
Evander,,Royal,,June Wilkinson,"Cédric Ricardo Alves Soares, Cédric Soares, Cédric","22nd October, 1988",Portland,,,,,,,,
Therese,,Blackwell,,Rebecca Jo Soteros,Lil Za,"15th April, 1990","County Longford, Leinster, Ireland",,,,,,,,
Nicollette,,Grasser,,Ian Ralph Samwell,List of Big Brother 6 housemates,"27th July, 1916","Wyomissing, Pennsylvania, USA",,,,,,,,
Thi,,Lords,,Amanda Jane Mealing,"Frederick Ashton, Frederick William Mallandaine Ashton","12th March, 1983","Sao Paulo, Brazil",,,,,,,,
Aziz,,Ribery,,Walter A. Doniger,Ashley,"3rd December, 1925",Mexico City,,,,,,,,
Mira,,Hayes,,Calum Milan Best,"Rosalba Géraldine Bazán Ortíz, Géraldine Bazán","14th April, 1978","Turnhout, Belgium",,,,,,,,
Crispin,,Dawit,,Nicholas Mayo,"Karima Adebibe, Karima McAdams","22nd August, 1975","Teresina, Piaui",,,,,,,,
Mart,,Carvalho,,Jasmine Sinclair Sabino,Count Ale de Basseville,"16th November, 1907","Camperdown, New South Wales",,,,,,,,
